ic_site_id,url_domain
1962,fotogramas.es
2152,elle.com
2152,esquire.com
1941,menshealth.com
1985,harpersbazaar.com
2098,womenshealthmag.com
2059,micasarevista.com
2060,elle.com
1939,digitalspy.com
10048,caranddriver.com
1923,elle.com
10069,veranda.com
2120,nhregister.com
10040,wapt.com
1960,elle.com
2154,menshealth.com
2153,cosmopolitan.com
2020,fujingaho.jp
1919,townandcountrymag.com
1950,elle.com
1923,harpersbazaar.com
1921,thepioneerwoman.com
1927,housebeautiful.com
1927,esquire.com
1925,elle.com
2171,biography.com
2116,greenstate.com
2109,womenshealthmag.com
2154,esquire.com
2174,nuevoestilo.es
2019,elleeten.nl
1947,cosmopolitan.com
1984,esquire.com
1921,elle.com
1923,digitalspy.com
2159,womenshealthmag.com
10035,wlwt.com
1959,elle.com
1960,elledecor.com
2109,cosmopolitan.com
2119,diezminutos.es
2124,elledecor.com
1942,micasarevista.com
2024,25ans.jp
2017,harpersbazaar.com
2017,womenshealthmag.com
2101,harpersbazaar.com
1959,nuevoestilo.es
1921,countryliving.com
1921,jan-magazine.nl
1921,25ans.jp
1927,delish.com
10060,popularmechanics.com
2089,bestproducts.com
10011,westport-news.com
1985,fotogramas.es
1985,quemedices.es
2119,elle.com
1944,elledecor.com
2153,nuevoestilo.es
2097,elle.com
1941,harpersbazaar.com
1948,esquire.com
2167,marieclaire.it
2059,cosmopolitan.com
1925,womenshealthmag.com
1925,esquire.com
2060,delish.com
10056,harpersbazaar.com
1984,elleeten.nl
2158,fujingaho.jp
1921,harpersbazaar.com
1921,goodhousekeeping.com
1923,goodhousekeeping.com
1927,harpersbazaar.com
2060,ellegirl.jp
2159,redonline.co.uk
10033,kmbc.com
1941,womenshealthmag.com
2154,harpersbazaar.com
2148,menshealth.com
1919,housebeautiful.com
2158,womenshealthmag.com
1959,esquire.com
2158,harpersbazaar.com
1933,redonline.co.uk
1927,townandcountrymag.com
2159,prima.co.uk
1956,crecerfeliz.es
2109,harpersbazaar.com
1942,elledecor.com
1942,marieclaire.it
1948,runnersworld.com
2081,elle.com
2027,crfashionbook.com
2059,prima.co.uk
2059,townandcountrymag.com
1927,marieclaire.com
2141,prevention.com
2152,menshealth.com
2175,gente.it
1941,elledecor.com
2098,harpersbazaar.com
2081,harpersbazaar.com
1984,runnersworld.com
1919,delish.com
1939,runnersworld.com
1927,cosmopolitan.com
2059,womenshealthmag.com
2059,harpersbazaar.com
2157,qpmagazine.com
2060,nuevoestilo.es
10057,housebeautiful.com
10063,redbookmag.com
2069,khtvnews.com
2059,wjcl.com
10042,kcra.com
1969,caranddriver.com
1959,crecerfeliz.es
2020,cosmopolitan.com
1943,elle.com
1941,gioia.it
2168,womenshealthmag.com
1919,elledecor.com
1939,harpersbazaar.com
2060,countryliving.com
2140,womenshealthmag.com
2119,fotogramas.es
2119,nuevoestilo.es
2119,cosmopolitan.com
2020,ellegirl.jp
1943,womenshealthmag.com
1985,womenshealthmag.com
2148,womenshealthmag.com
1930,digitalspy.com
1927,elledecor.com
1925,nuevoestilo.es
1925,menshealth.com
2060,goodhousekeeping.com
2060,womenshealthmag.com
2134,shondaland.com
2160,autoweek.com
2121,middletownpress.com
2059,htvnationaldesk.com
1943,cosmopolitan.com
1943,harpersbazaar.com
2152,womenshealthmag.com
1919,oprahdaily.com
1919,runnersworld.com
2145,vogue.nl
1939,micasarevista.com
1925,digitalspy.com
2159,cosmopolitan.com
2159,menshealth.com
10072,oprahdaily.com
10023,wbaltv.com
10027,wpbf.com
10020,wesh.com
2059,kmbc.com
1943,esquire.com
2153,elle.com
2154,womenshealthmag.com
1947,elle.com
1959,fotogramas.es
1921,womenshealthmag.com
2159,harpersbazaar.com
1927,htvnationaldesk.com
2162,womenshealthmag.com
1919,countryliving.com
2151,elle.com
1947,runnersworld.com
2149,bicycling.com
1939,25ans.jp
10055,goodhousekeeping.com
1959,diezminutos.es
2156,ellemen.com
1941,elle.com
2168,menshealth.com
2168,elle.com
2097,harpersbazaar.com
1941,esquire.com
1941,runnersworld.com
2069,elledecor.com
1948,elledecor.com
1921,prevention.com
2059,countryliving.com
2059,jan-magazine.nl
1925,marieclaire.it
2151,esquire.com
2153,harpersbazaar.com
1984,cosmopolitan.com
2159,housebeautiful.com
2060,harpersbazaar.com
2060,menshealth.com
10038,kcci.com
2109,elledecor.com
1941,marieclaire.it
1985,elledecor.com
1919,prima.co.uk
1947,harpersbazaar.com
2060,elledecor.com
1927,womenshealthmag.com
2170,firstfinds.com
2165,gearpatrol.com
10029,wxii12.com
10041,4029tv.com
1969,menshealth.com
2119,esquire.com
2161,fujingaho.jp
1931,netdoctor.co.uk
1939,esquire.com
10026,wyff4.com
10034,wisn.com
2124,cosmopolitan.com
1950,menshealth.com
2149,womenshealthmag.com
1923,menshealth.com
1921,cosmopolitan.com
1925,modernliving.jp
2060,townandcountrymag.com
2060,redonline.co.uk
2060,fujingaho.jp
1927,oprahdaily.com
10054,esquire.com
1936,cosmopolitan.com
10044,koat.com
1959,menshealth.com
1969,micasarevista.com
2109,esquire.com
1985,esquire.com
2153,runnersworld.com
2167,menshealth.com
1950,runnersworld.com
2158,modernliving.jp
1921,digitalspy.com
1921,housebeautiful.com
1927,shondaland.com
1925,goodhousekeeping.com
2059,goodhousekeeping.com
10030,wlky.com
1942,nuevoestilo.es
1985,menshealth.com
2148,elle.com
1948,jan-magazine.nl
1919,esquire.com
2081,cosmopolitan.com
1939,womenshealthmag.com
2158,ellegirl.jp
1921,menshealth.com
1930,menshealth.com
1927,goodhousekeeping.com
1939,menshealth.com
2059,esquire.com
2059,womansday.com
2059,menshealth.com
1939,netdoctor.co.uk
2060,jan-magazine.nl
2109,diezminutos.es
2119,micasarevista.com
1944,marieclaire.it
2150,crfashionbook.com
2154,cosmopolitan.com
2020,harpersbazaar.com
2020,womenshealthmag.com
2098,elle.com
2101,cosmopolitan.com
1984,womenshealthmag.com
1984,jan-magazine.nl
1925,harpersbazaar.com
1959,harpersbazaar.com
2124,esquire.com
2173,richessemag.jp
2162,marieclaire.it
2158,cosmopolitan.com
2081,womenshealthmag.com
1930,esquire.com
1927,redonline.co.uk
2059,delish.com
2060,prima.co.uk
1925,townandcountrymag.com
10065,seventeen.com
7,chron.com
2115,khtvnews.com
2109,fotogramas.es
2020,elle.com
1942,menshealth.com
2147,jan-magazine.nl
2151,cosmopolitan.com
1948,elleeten.nl
2101,elle.com
2158,elle.com
2017,ellechina.com
1936,runnersworld.com
10049,cosmopolitan.com
10050,countryliving.com
10017,wcvb.com
1960,womenshealthmag.com
2124,menshealth.com
2162,cosmopolitan.com
2017,cosmopolitan.com
2124,fotogramas.es
1919,harpersbazaar.com
1919,redbookmag.com
1919,ellegirl.jp
1921,oprahdaily.com
1925,housebeautiful.com
2114,harpersbazaar.com
2060,micasarevista.com
2060,runnersworld.com
10064,roadandtrack.com
2139,menshealth.com
2143,bicycling.com
4,sfgate.com
2059,khtvnews.com
1942,esquire.com
2027,fujingaho.jp
1985,elle.com
2098,cosmopolitan.com
1984,harpersbazaar.com
1919,marieclaire.com
1959,micasarevista.com
1925,countryliving.com
1927,digitalspy.com
2117,crfashionbook.com
1958,diezminutos.es
1959,quemedices.es
2119,runnersworld.com
2153,diezminutos.es
1919,goodhousekeeping.com
1927,prima.co.uk
2095,prima.co.uk
10052,elledecor.com
2166,altaonline.com
2122,registercitizen.com
10031,wmtw.com
2100,gioia.it
1948,elle.com
2027,ellegirl.jp
1948,cosmopolitan.com
2027,elle.com
1952,quotenet.nl
1923,esquire.com
1925,prima.co.uk
1925,micasarevista.com
2059,elledecor.com
2060,modernliving.jp
1927,jan-magazine.nl
10067,townandcountrymag.com
1969,nuevoestilo.es
2153,menshealth.com
1941,gente.it
2027,cosmopolitan.com
2162,harpersbazaar.com
2148,runnersworld.com
1919,menshealth.com
1947,jan-magazine.nl
2153,micasarevista.com
2149,menshealth.com
1921,prima.co.uk
1921,esquire.com
1939,elle.com
1921,crfashionbook.com
1921,seventeen.com
1921,ellegirl.jp
1925,fujingaho.jp
2159,countryliving.com
1936,womenshealthmag.com
10070,womansday.com
2119,harpersbazaar.com
2151,womenshealthmag.com
2153,womenshealthmag.com
1941,micasarevista.com
1919,seventeen.com
2163,elle.com
2148,bicycling.com
1925,redonline.co.uk
2060,25ans.jp
2164,thepioneerwoman.com
2152,runnersworld.com
2169,modernliving.jp
2151,fujingaho.jp
1949,menshealth.com
2163,cosmopolitan.com
1921,womansday.com
1925,cosmopolitan.com
2059,runnersworld.com
2060,esquire.com
10013,mysanantonio.com
10022,wtae.com
2109,elle.com
1942,cosmopolitan.com
2021,ellegirl.jp
1949,elle.com
1920,digitalspy.com
1919,25ans.jp
2163,womenshealthmag.com
2027,esquire.com
1930,runnersworld.com
2059,elle.com
1939,goodhousekeeping.com
2146,glamour.nl
2060,htvnationaldesk.com
10037,koco.com
2027,harpersbazaar.com
2167,runnersworld.com
2124,elle.com
1919,veranda.com
1949,cosmopolitan.com
10018,wmur.com
1941,cosmopolitan.com
1948,harpersbazaar.com
1919,elle.com
2101,womenshealthmag.com
2059,nuevoestilo.es
1927,redbookmag.com
1925,ellegirl.jp
1927,menshealth.com
1927,ellegirl.jp
1919,htvnationaldesk.com
1925,htvnationaldesk.com
10039,ketv.com
2029,ellechina.com
2119,menshealth.com
2097,cosmopolitan.com
2097,25ans.jp
2020,25ans.jp
1949,esquire.com
2017,ellemen.com
1936,menshealth.com
1927,elle.com
1939,prima.co.uk
2060,housebeautiful.com
2059,redonline.co.uk
2159,elle.com
2142,runnersworld.com
1923,htvnationaldesk.com
1959,womenshealthmag.com
2119,caranddriver.com
2153,quemedices.es
1944,elle.com
2017,elle.com
1919,redonline.co.uk
1984,menshealth.com
1984,elle.com
2167,womenshealthmag.com
2069,cosmopolitan.com
1950,bicycling.com
1949,womenshealthmag.com
1921,redbookmag.com
2159,delish.com
1925,25ans.jp
1925,delish.com
1927,prevention.com
1927,ellemen.com
2159,goodhousekeeping.com
1947,mor-tv.com
2078,wjcl.com
1961,emprendedores.es
1985,diezminutos.es
2153,esquire.com
2081,jan-magazine.nl
1950,womenshealthmag.com
1930,elle.com
1927,crfashionbook.com
2114,townandcountrymag.com
1925,elledecor.com
2060,cosmopolitan.com
2159,redbookmag.com
1782,delish.com
10036,wdsu.com
1954,ar-revista.com
1965,quemedices.es
1985,cosmopolitan.com
1969,elle.com
2097,ellegirl.jp
2162,esquire.com
2124,runnersworld.com
1919,womenshealthmag.com
1922,elledecoration.co.uk
1927,micasarevista.com
1966,quo.es
2119,womenshealthmag.com
2154,fotogramas.es
2124,marieclaire.it
2158,25ans.jp
1947,womenshealthmag.com
2155,quest.nl
2060,digitalspy.com
10019,mor-tv.com
10046,ksbw.com
2138,watchstitch.com
1960,micasarevista.com
1963,micasarevista.com
1959,cosmopolitan.com
1942,elle.com
2168,runnersworld.com
2162,elledecor.com
2162,elle.com
2148,harpersbazaar.com
1921,redonline.co.uk
1921,delish.com
1930,womenshealthmag.com
1927,countryliving.com
10051,elle.com
10028,wgal.com
1969,esquire.com
2119,elledecor.com
2168,marieclaire.it
1948,womenshealthmag.com
1947,menshealth.com
2172,nationalgeographic.nl
2148,jan-magazine.nl
1959,elledecor.com
1939,cosmopolitan.com
1939,ellegirl.jp
10032,mynbc5.com
2154,runnersworld.com
2027,25ans.jp
1949,quotenet.nl
1919,cosmopolitan.com
1984,bicycling.com
2097,fujingaho.jp
2114,elle.com
1960,nuevoestilo.es
1960,diezminutos.es
1943,elledecor.com
1943,marieclaire.it
1919,digitalspy.com
1939,redonline.co.uk
2059,housebeautiful.com
1925,runnersworld.com
2068,wvtm13.com